PreviousCompTurn,PreviousHumanTurn,CurrentHumanTurn
Paper,Rock,Paper
Rock,Paper,Scissors
Rock,Scissors,Scissors
Paper,Scissors,Scissors
Paper,Scissors,Scissors
Rock,Scissors,Rock
Scissors,Rock,Paper
Paper,Paper,Paper
Rock,Paper,Scissors
Paper,Scissors,Rock
Paper,Rock,Scissors
Paper,Scissors,Rock
Scissors,Rock,Paper
Scissors,Paper,Rock
Scissors,Rock,Rock
Rock,Rock,Rock
Scissors,Rock,Paper
Rock,Paper,Scissors
Scissors,Scissors,Scissors
Rock,Scissors,Paper
Rock,Paper,Rock
Rock,Rock,Paper
Rock,Paper,Scissors
Paper,Scissors,Scissors
Rock,Scissors,Paper
Scissors,Paper,Paper
Rock,Paper,Rock
Rock,Rock,Paper
Scissors,Paper,Rock
Rock,Rock,Scissors
Scissors,Scissors,Scissors
Scissors,Scissors,Rock
Scissors,Rock,Paper
Paper,Paper,Scissors
Scissors,Scissors,Rock
Rock,Rock,Scissors
Paper,Scissors,Paper
Scissors,Paper,Rock
Paper,Rock,Rock
Paper,Rock,Scissors
Rock,Scissors,Paper
Rock,Paper,Rock
Scissors,Rock,Paper
Scissors,Paper,Scissors
Scissors,Scissors,Rock
Scissors,Rock,Rock
Paper,Rock,Paper
Rock,Paper,Scissors
Scissors,Scissors,Rock
Scissors,Rock,Rock
Rock,Paper,Paper
Paper,Paper,Rock
Scissors,Rock,Scissors
Scissors,Scissors,Paper
